"Comment","Taxon","Taxon_Path"
"Chordata Actinopterygii Aulopiformes Ipnopidae:","Ipnopidae","Biota / Animalia / Chordata / Teleostei / Aulopiformes / Ipnopidae"
"Echinodermata Ophiuroidea: x3","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Cnidaria Anthozoa Hexacorallia Ceriantharia Ceriantharia:","Ceriantharia","Biota / Animalia / Cnidaria / Anthozoa / Ceriantharia"
"Arthropoda Crustacea Malacostraca Decapoda:shrimp","Decapoda","Biota / Animalia / Arthropoda / Malacostraca / Decapoda"
"Arthropoda Crustacea Malacostraca Decapoda Pleocyemata Paguroidea:","Paguroidea","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Paguroidea"
"Echinodermata Ophiuroidea:","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Porifera Demospongiae:","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Chordata Actinopterygii Gadiformes Macrouridae:","Macrouridae","Biota / Animalia / Chordata / Teleostei / Gadiformes / Macrouridae"
"Porifera Demospongiae:encrusting several","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Porifera Demospongiae: many white globos specimens","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Porifera Demospongiae: encrusting sponges","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Echinodermata Ophiuroidea:","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Chordata Actinopterygii Gadiformes Macrouridae:","Macrouridae","Biota / Animalia / Chordata / Teleostei / Gadiformes / Macrouridae"
"Porifera Demospongiae: X4","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Echinodermata Ophiuroidea:","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Porifera Demospongiae:","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Cnidaria Anthozoa Octocorallia Alcyonacea Calcaxonia Primnoidae: possible unbranched primnoid","Primnoidae","Biota / Animalia / Cnidaria / Anthozoa / Scleralcyonacea / Primnoidae"
"Start EX1806_DIVE02_SPEC01BIO: Bryozoa with substrate","Bryozoa","Biota / Animalia / Bryozoa"
"End EX11806_DIVE02_SPEC01BIO: Bryozoa with substrate","Bryozoa","Biota / Animalia / Bryozoa"
"Echinodermata Ophiuroidea:","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Porifera Demospongiae: w ophiuroid x2","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Arthropoda Crustacea Malacostraca Decapoda Galatheoidea or Chirostyloidea:","Anomura","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Anomura"
"END EX1806_D2_DIVE02_SPEC02BIO: Demospongiae","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Porifera Demospongiae:Many white","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Chordata Tunicata:","Tunicata","Biota / Animalia / Chordata / Tunicata"
"Echinodermata Ophiuroidea:","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Echinodermata Ophiuroidea: x2 ","Ophiuroidea","Biota / Animalia / Echinodermata / Ophiuroidea"
"Start EX1806_DIVE02_SPEC03BIO: Geodia pachydermata","Geodia","Biota / Animalia / Porifera / Demospongiae / Tetractinellida / Geodiidae / Geodia"
"End D2_DIVE02_SPEC03BIO Demospongiae: Geodia pachydermata","Geodia","Biota / Animalia / Porifera / Demospongiae / Tetractinellida / Geodiidae / Geodia"
"Start EX1806_DIVE02_SPEC04BIO: Demospongiae","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"End EX1806_DIVE02_SPEC04BIO: Demospongiae","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Echinodermata  Asteroidea: Brisingida","Brisingida","Biota / Animalia / Echinodermata / Asteroidea / Brisingida"
"Start EX1806_DIVE02_SPEC05BIO: Tunicata","Tunicata","Biota / Animalia / Chordata / Tunicata"
"START EX1806_DIVE02_SPEC05BIO Demospongiae on rock with sediment","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"End EX1806_DIVE02_SPEC05BIO: Tunicata","Tunicata","Biota / Animalia / Chordata / Tunicata"
"Echinodermata Holothuroidea:","Holothuroidea","Biota / Animalia / Echinodermata / Holothuroidea"
"Annelida Polychaeta: tubiculous fan worm","Sabellidae","Biota / Animalia / Annelida / Polychaeta / Sabellida / Sabellidae"
"Arthropoda Crustacea Malacostraca Decapoda Galatheoidea or Chirostyloidea:","Anomura","Biota / Animalia / Arthropoda / Malacostraca / Decapoda / Anomura"
"Porifera Demospongiae:","Demospongiae","Biota / Animalia / Porifera / Demospongiae"
"Porifera:","Porifera","Biota / Animalia / Porifera"
"Cnidaria Hydrozoa  Siphonophorae:","Siphonophorae","Biota / Animalia / Cnidaria / Hydrozoa / Siphonophorae"
"Chordata Actinopterygii Gadiformes Macrouridae:","Macrouridae","Biota / Animalia / Chordata / Teleostei / Gadiformes / Macrouridae"
